"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"11474",6,27,28,81,0,14.29,6.2,6,"Intervalo 1","Intervalo 3","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 1"
"11475",6.1,25,29,84,0,14.23,9.4,7,"Intervalo 1","Intervalo 3","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 1"
"11477",7.1,25,35,89,0,13.24,9,1,"Intervalo 1","Intervalo 3","Intervalo 4",NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 1"
"11478",9.7,23,27,90,0,13.27,9.1,8,"Intervalo 1","Intervalo 3","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 1"
"11483",14.8,24,24,89,0.208,14.85,7.9,14,"Intervalo 2","Intervalo 3","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 2"
"11484",16.9,25,35,84,0.151,16.77,2.5,51,"Intervalo 2","Intervalo 3","Intervalo 4",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"11485",28.4,24,42,76,0.167,17.78,2.9,165,"Intervalo 3","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"11486",46.7,20,53,72,0.156,18.05,9.5,152,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"11487",46.6,20,67,75,0.071,17.53,10.7,136,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"11488",46.4,18,59,76,0.073,17.56,10.7,151,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"11489",41.7,21,55,74,0.095,17.97,12.3,149,"Intervalo 5","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"11490",47.6,17,71,76,0.076,17.97,10.2,138,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"11491",54.1,13,56,77,0.023,17.67,10.1,144,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"11492",48.1,13,54,79,0,17.19,9.9,141,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"11493",43.4,13,44,80,0,16.98,8.3,133,"Intervalo 5","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"11495",41,12,45,82,0,16.72,6.3,126,"Intervalo 5","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
